point_index,markov_p1,ml_mc_p1,ml_informed_markov_p1,ml_informed_markov_unsmoothed_p1,hybrid_p1,set1,set2,gm1,gm2
19,0.6993698489612934,0.62,0.8211894556307946,0.6213163547003706,0.6390487637507104,0,0,2.0,0.0
20,0.6800622472321387,0.6466666666666667,0.7507677914377341,0.6056591584931454,0.6564627036325386,0,0,2.0,0.0
21,0.6960242769314501,0.6333333333333333,0.825851977237132,0.6654892905526154,0.6500509182928311,0,0,2.0,0.0
22,0.7101245943736767,0.6833333333333333,0.8596346885281475,0.686920188039037,0.6931567957147926,0,0,2.0,0.0
23,0.7168951105839785,0.6333333333333333,0.8828376712419013,0.6811098003285405,0.6556164739335053,0,0,3.0,0.0
24,0.7141790642607415,0.6166666666666667,0.9135476630053547,0.6804010698953131,0.6394195594386175,0,0,3.0,0.0
25,0.7179246877671093,0.6133333333333333,0.8922806674565646,0.6816345790956648,0.6370407070049892,0,0,3.0,0.0
26,0.7142897121920109,0.6133333333333333,0.9189805477230957,0.6805392844432261,0.6362167792079668,0,0,3.0,0.0
27,0.7118338467292762,0.6133333333333333,0.9293743005071227,0.6539545262833607,0.6356601163697471,0,0,3.0,0.0
28,0.7136676087231599,0.6733333333333333,0.9233646154645578,0.6900671993627665,0.6873158821351398,0,0,3.0,0.0
29,0.7190729523976191,0.6733333333333333,0.8971803281105529,0.6666318710682264,0.6891897346089524,0,0,3.0,0.0
30,0.7136676087231599,0.6466666666666667,0.9219534743907605,0.6607684232183555,0.6663202763365714,0,0,3.0,0.0
31,0.7501057747681046,0.6766666666666667,0.9546806151553499,0.7036062169527604,0.7026151515291748,0,0,4.0,0.0
32,0.7517438683604605,0.6933333333333334,0.9625235238074653,0.7040580078557412,0.7159187402104892,0,0,4.0,0.0
33,0.7528710415222464,0.71,0.9687911716040817,0.7043309630535236,0.7280058374393434,0,0,4.0,0.0
34,0.7516386858742995,0.7333333333333334,0.9568963522258562,0.7039713534701405,0.7418758311857843,0,0,4.0,0.0
35,0.7531038895189494,0.6866666666666666,0.9641340899039608,0.7130176466301464,0.7114698965315189,0,0,4.0,0.0
36,0.7536351058660585,0.6933333333333334,0.9695312311427879,0.7044809429876724,0.7166500187126538,0,0,5.0,0.0
37,0.7539223934116839,0.6933333333333334,0.9601244542540264,0.7045208763520421,0.7167611032302956,0,0,5.0,0.0
38,0.754373034965363,0.7033333333333334,0.9438749331256102,0.7097295662620897,0.7240894786636921,0,0,5.0,0.0
39,0.75407550643624,0.6666666666666667,0.9589401011996598,0.7083298760956988,0.6958029465898579,0,0,5.0,0.0
40,0.7537533796084347,0.69,0.9712455382099274,0.7045336909987419,0.714226284251205,0,0,5.0,0.0
41,0.7543251253493712,0.69,0.9626704788984243,0.6909866847367538,0.7144435476327611,0,0,5.0,0.0
42,0.7533091085280684,0.6866666666666666,0.9529483869332165,0.7044539259767074,0.7115465116282567,0,0,5.0,1.0
43,0.7542975324468034,0.72,0.959608195172567,0.7046491230908359,0.7350909142765935,0,0,5.0,1.0
44,0.7549776675250826,0.6766666666666667,0.9653710030694516,0.7048464958201377,0.7043365536366404,0,0,5.0,1.0
45,0.7553347211830603,0.6766666666666667,0.970221131433207,0.7104835395549756,0.7044627125957925,0,0,5.0,1.0
46,0.7554387031315952,0.72,0.9740402261007671,0.7048628328955668,0.7355930293779018,1,0,0.0,0.0
47,0.7697459055247899,0.69,0.9704111611022141,0.7174011278906277,0.72030344409942,1,0,0.0,0.0
48,0.7582232776091272,0.7,0.9753309598061377,0.7082219369878596,0.7232893110436509,1,0,0.0,0.0
49,0.7773710847736504,0.7233333333333334,0.9729379119430859,0.7278019045832407,0.7474701956433416,1,0,0.0,0.0
50,0.8086162220382529,0.7566666666666666,0.9726590227442118,0.7599980914510676,0.7833341050907476,1,0,0.0,0.0
51,0.7392037149976188,0.7166666666666667,0.9479991677604358,0.6697077822253023,0.7264327209434126,1,0,0.0,1.0
52,0.7245636263223489,0.6666666666666667,0.9246338570957279,0.6552275298312722,0.6859656532185608,1,0,0.0,1.0
53,0.7004138692548043,0.6733333333333333,0.8923974233843625,0.657006899429498,0.6827212524527766,1,0,0.0,1.0
54,0.7161197352128046,0.6766666666666667,0.9079481999514871,0.6519648355373914,0.6906067508863021,1,0,0.0,1.0
55,0.7326871088059554,0.7033333333333334,0.9234558103720222,0.6690199917729374,0.7152705353588664,1,0,0.0,1.0
56,0.7473221665804355,0.6566666666666667,0.9371049316032354,0.7051640822693694,0.6850720566396477,1,0,0.0,1.0
57,0.7326871088059554,0.6699999999999999,0.9113908034496458,0.6747487488744168,0.6913136169940248,1,0,0.0,1.0
58,0.7022080501942194,0.6466666666666667,0.8846652053866039,0.6400034310943217,0.6629588058347489,1,0,0.0,1.0
59,0.7326871088059554,0.6533333333333333,0.9121750640086254,0.692621526691817,0.6776684911449374,1,0,0.0,1.0
60,0.7022080501942194,0.6533333333333333,0.8755898554949002,0.639859623735487,0.6683215798373384,1,0,0.0,1.0
61,0.6387321809374858,0.4966666666666667,0.7952622351669214,0.6211801351342625,0.4976137700951388,1,0,0.0,2.0
62,0.6307190764019783,0.5700000000000001,0.8209249837469479,0.6085607027412419,0.578500670696277,1,0,0.0,2.0
63,0.6417697247102918,0.4966666666666667,0.823920532458443,0.5564857429076993,0.4976340203869575,1,0,0.0,2.0
64,0.6626570462327667,0.5533333333333333,0.8170533321994994,0.5769010064650788,0.5649945293759395,1,0,0.0,2.0
65,0.6451574300082397,0.5133333333333333,0.8236251843892485,0.6215344724139544,0.5168486425779975,1,0,0.0,2.0
66,0.6762176528172603,0.62,0.8295934460582726,0.581089087523778,0.6334922366761425,1,0,0.0,2.0
67,0.6451574300082397,0.5266666666666666,0.8353412827355956,0.5667395086940892,0.5329861740448838,1,0,0.0,2.0
68,0.6292101379671503,0.51,0.8493619542641073,0.6163438631698465,0.512384202759343,1,0,0.0,2.0
69,0.7367130296160481,0.63,0.9174645358619986,0.6956697607551665,0.6577453877001725,1,0,1.0,2.0
70,0.7207722069096733,0.6733333333333333,0.88742518598215,0.6479065351893016,0.6897788095064645,1,0,1.0,2.0
71,0.694476806358853,0.6133333333333333,0.8505922764494218,0.6313778260701095,0.6317258538857844,1,0,1.0,2.0
72,0.7115780979042714,0.6333333333333333,0.8810302769683214,0.6712537947676054,0.6541986038855834,1,0,1.0,2.0
73,0.7296174398110461,0.6933333333333334,0.8919675291343215,0.6633099550721622,0.707363187838049,1,0,1.0,2.0
74,0.6964303956364019,0.6699999999999999,0.8649981604245286,0.6370112091980302,0.6789863345163766,1,0,1.0,2.0
75,0.7296174398110461,0.6666666666666667,0.8965253144406333,0.6913563746172865,0.6876502577147933,1,0,1.0,2.0
76,0.7455527846341018,0.7033333333333334,0.9154271488917789,0.7090031927588194,0.7205025768623126,1,0,1.0,2.0
77,0.7532044216191064,0.6566666666666667,0.9140700099696284,0.7109622111390905,0.6869151632184312,1,0,2.0,2.0
78,0.7444307030134691,0.6366666666666667,0.933356088529774,0.699736882174267,0.6661221699347928,1,0,2.0,2.0
79,0.7565302929086686,0.6866666666666666,0.9285948150924288,0.7084627018792675,0.7127490871303475,1,0,2.0,2.0
80,0.7794002655455672,0.7433333333333334,0.928178909851786,0.7302851708872061,0.7608859070099538,1,0,2.0,2.0
81,0.8167191829619466,0.7933333333333333,0.9327339081695845,0.7669018707482254,0.8070530317821197,1,0,2.0,2.0
