point_index,markov_p1,ml_mc_p1,ml_informed_markov_p1,ml_informed_markov_unsmoothed_p1,hybrid_p1,set1,set2,gm1,gm2
78,0.8720199973572931,0.64,0.8338419360610879,0.8492605041730727,0.7049655992600421,0,0,6.0,6.0
79,0.8477396406974205,0.6133333333333333,0.7588708427397804,0.7776629490164969,0.666465429669193,0,0,6.0,6.0
80,0.8709527655828521,0.6466666666666666,0.8003769954024452,0.8054630777220463,0.712457255682081,0,0,6.0,6.0
81,0.8619503691616168,0.67,0.7962155076732785,0.8459766916128797,0.7352631255149498,0,0,6.0,6.0
82,0.8480212098319002,0.6033333333333334,0.7679076129670509,0.8166534278111676,0.6539021611430372,0,0,6.0,6.0
83,0.7564069527817066,0.51,0.6007680098272465,0.6662476385205396,0.5149281390556342,0,0,6.0,6.0
84,0.8027402014637528,0.5633333333333334,0.6711511292703207,0.7137279607459373,0.5936582032965199,0,0,6.0,6.0
85,0.7564069527817066,0.48333333333333334,0.6008754847745325,0.6662476385205396,0.49243578731494575,0,0,6.0,6.0
86,0.8480212098319002,0.6033333333333334,0.7464306349175771,0.7859993701369377,0.6539021611430372,0,0,6.0,6.0
87,0.8874023376102688,0.66,0.8071490717667128,0.8228526695619396,0.732768748035286,1,0,0.0,0.0
88,0.8826806350358822,0.71,0.8211910422015206,0.8187635367184893,0.7825258667150705,1,0,0.0,0.0
89,0.8889647370686472,0.6933333333333334,0.8185284684502708,0.8252772737761573,0.768977476110988,1,0,0.0,0.0
90,0.9002873423492825,0.71,0.824508868532537,0.8401536229652105,0.7899206837866987,1,0,0.0,0.0
91,0.9178543167881467,0.72,0.8404437926827502,0.8507993638674725,0.8070558993867845,1,0,0.0,0.0
92,0.8766928346423846,0.6866666666666666,0.7713506410912581,0.8151696871681767,0.7576097693776014,1,0,0.0,1.0
93,0.8807216128634998,0.7,0.7880532980068499,0.818685133174049,0.7722886451453999,1,0,0.0,1.0
94,0.8745554078544537,0.69,0.7558785379525998,0.8124565334470365,0.7601310549846924,1,0,0.0,1.0
95,0.8803039191943505,0.71,0.7758422033249658,0.818659759396727,0.7815276460616272,1,0,0.0,1.0
96,0.883867452303382,0.6866666666666666,0.8141740257734276,0.8753915429074799,0.7602882933043738,1,0,0.0,1.0
97,0.88504519970243,0.6833333333333333,0.8220577284940014,0.8718976989587393,0.757294351002002,1,0,1.0,1.0
98,0.8944809493189966,0.73,0.8060996124438943,0.8327696381452752,0.8056612366867384,1,0,1.0,1.0
99,0.9086000975162862,0.7366666666666667,0.8193529553745594,0.8522273456417201,0.8180484906021532,1,0,1.0,1.0
100,0.9258915174652476,0.78,0.840311550641596,0.8668280857035858,0.8616992497805386,1,0,1.0,1.0
101,0.918349233246638,0.76,0.8609669145719494,0.878367132444531,0.8423416012882518,1,0,1.0,1.0
102,0.8733326721192206,0.6533333333333333,0.7708459742081595,0.8124601284975872,0.7207997972276721,1,0,1.0,2.0
103,0.8777753875638155,0.6533333333333333,0.8015225660406213,0.852916924748898,0.7221622299640145,1,0,1.0,2.0
104,0.880698315995293,0.6266666666666667,0.8132431377384927,0.8608640958890414,0.6910213511632521,1,0,1.0,2.0
105,0.8821527571457137,0.6466666666666666,0.8110647435791749,0.8260463532671469,0.7157425865405205,1,0,1.0,2.0
106,0.8812444465933071,0.6733333333333333,0.8010025965319628,0.8717258391874121,0.7454091859301242,1,0,1.0,2.0
107,0.8825432017673097,0.72,0.8097855537398368,0.8685648360144241,0.7915190087776163,1,0,2.0,2.0
108,0.8768388327375194,0.6666666666666666,0.8201224800149567,0.8579866139309711,0.7367240553569508,1,0,2.0,2.0
