point_index,markov_p1,ml_mc_p1,ml_informed_markov_p1,ml_informed_markov_unsmoothed_p1,hybrid_p1,set1,set2,gm1,gm2
29,0.29250593586558127,0.32666666666666666,0.19122733526071245,0.21030614661490055,0.31482427998895707,0,0,2.0,3.0
30,0.30930522096927604,0.3433333333333334,0.2096332170858738,0.17547211975138344,0.33267119145926205,0,0,2.0,3.0
31,0.33807939274519727,0.3733333333333333,0.2116453738759796,0.19440884139989434,0.3644023350510055,0,0,2.0,3.0
32,0.3195646704150491,0.3633333333333333,0.24348774322504163,0.22692863372259453,0.3513698988023356,0,0,2.0,3.0
33,0.3003915252625692,0.30666666666666664,0.2617503471191608,0.31594486272106104,0.3042402786570823,0,0,2.0,3.0
34,0.3366387403387727,0.3966666666666666,0.27945624078904097,0.23391653279204005,0.3842608952255685,0,0,2.0,3.0
35,0.276254202028425,0.31666666666666665,0.20379544383290837,0.17626059582254883,0.30184876296597807,0,0,2.0,4.0
36,0.27835662916089576,0.32666666666666666,0.2165473151201429,0.19640872714037305,0.3099191869979994,0,0,2.0,4.0
37,0.2753760514133323,0.3666666666666667,0.18567383721171415,0.1329943119954673,0.3423225025991109,0,0,2.0,4.0
38,0.27823539242591677,0.31333333333333335,0.19587435693313193,0.19769850515917664,0.3002301020612312,0,0,2.0,4.0
39,0.28012100659969386,0.32999999999999996,0.23676991844713624,0.21702433505669416,0.3130411422438959,0,0,2.0,4.0
40,0.2808153401361053,0.35,0.2337090303397743,0.27445564968428404,0.32924460204083156,0,0,3.0,4.0
41,0.29938309823116027,0.31333333333333335,0.23419843012328512,0.29407172136485127,0.3081252455618554,0,0,3.0,4.0
42,0.2848480268903728,0.4033333333333333,0.28945695314691433,0.30630740165454096,0.38042617408769425,0,0,3.0,4.0
43,0.2730225595443728,0.30333333333333334,0.32655155833092386,0.37060488016932824,0.2914110956430089,0,0,3.0,4.0
44,0.2654776669169344,0.32999999999999996,0.371768235365444,0.6617893686664851,0.30806240675175767,0,0,3.0,4.0
45,0.41725326609969315,0.51,0.5925399724039169,0.7501788814623196,0.5081450653219939,0,0,4.0,4.0
46,0.4283380238978186,0.5033333333333334,0.6241230147840262,0.847731236624742,0.5028333646037633,0,0,4.0,4.0
47,0.4126233378000438,0.5033333333333334,0.5479281219601038,0.7449156389962527,0.5027286000297781,0,0,4.0,4.0
48,0.3818058786513472,0.48,0.4604969274201345,0.6536058744007069,0.4760722351460539,0,0,4.0,4.0
49,0.40737601211470786,0.4866666666666667,0.5299869157614473,0.5916485526674269,0.4845522492119478,0,0,4.0,4.0
