point_index,markov_p1,ml_mc_p1,ml_informed_markov_p1,ml_informed_markov_unsmoothed_p1,hybrid_p1,set1,set2,gm1,gm2
26,0.29821144845817593,0.43000000000000005,0.4308407334797246,0.597264270766519,0.41154960278414465,0,0,2.0,2.0
27,0.2637126627713252,0.42333333333333334,0.3423352024650076,0.5546503696606698,0.3988581638471588,0,0,2.0,2.0
28,0.28654292496988465,0.49,0.39152330577684213,0.5813563235378665,0.48593085849939766,0,0,2.0,2.0
29,0.31135999985089313,0.48,0.4419353909298048,0.6077758929530866,0.47325439999403573,0,0,2.0,2.0
30,0.2675436166463422,0.42666666666666664,0.34595729664747177,0.5341025519320082,0.40332861933035236,0,0,2.0,2.0
31,0.31135999985089313,0.4766666666666667,0.4170533096672502,0.612657827188807,0.4689523555485972,0,0,2.0,2.0
32,0.2675436166463422,0.42333333333333334,0.3209248071227313,0.5341025519320082,0.3994455767746614,0,0,2.0,2.0
33,0.31135999985089313,0.5333333333333333,0.3898119242045165,0.612657827188807,0.5185351111011707,0,0,2.0,2.0
34,0.2675436166463422,0.44666666666666666,0.30772030296959474,0.5234296932388053,0.42756020799783206,0,0,2.0,2.0
35,0.1830572709986047,0.2866666666666666,0.19033831548715385,0.41976080677854144,0.24245999118162687,0,0,2.0,3.0
36,0.17547400681024827,0.31333333333333335,0.2118949381431856,0.4851862484685764,0.26186585143138164,0,0,2.0,3.0
37,0.18708093781897828,0.32666666666666666,0.2133862025250688,0.4255897679729568,0.27827694733280134,0,0,2.0,3.0
38,0.21225488774355428,0.37,0.22502368216710278,0.4629891020726846,0.3289862708133241,0,0,2.0,3.0
39,0.1918654062819417,0.33333333333333337,0.23706532108083578,0.4323588133640016,0.28617735764953617,0,0,2.0,3.0
40,0.2317772495099466,0.3466666666666667,0.2680798499935937,0.527230507922893,0.3114339120719392,0,0,2.0,3.0
41,0.1918654062819417,0.32666666666666666,0.26460916502762977,0.5200969372448083,0.2799355630666287,0,0,2.0,3.0
42,0.17471005805713513,0.33333333333333337,0.2669262617239968,0.4165620824054337,0.2804589082412673,0,0,2.0,3.0
43,0.1918654062819417,0.29333333333333333,0.2735279496455766,0.44154887494844086,0.2513932568187581,0,0,2.0,3.0
44,0.2317772495099466,0.3966666666666666,0.30031311147363726,0.462752742310108,0.3625895204542778,0,0,2.0,3.0
45,0.16733615725698703,0.32333333333333336,0.21088680283066008,0.3937987214173493,0.268214331119691,0,0,2.0,4.0
46,0.16960908781137085,0.2866666666666666,0.229379722568135,0.39602331349903386,0.23672209968840707,0,0,2.0,4.0
47,0.16649227199287275,0.2366666666666667,0.1993294155994958,0.39247094494521395,0.19970815213846854,0,0,2.0,4.0
48,0.16952446021542544,0.28,0.22693466960524034,0.45931878769711265,0.2313907624947872,0,0,2.0,4.0
49,0.1715835603791016,0.2866666666666666,0.23653468352999352,0.4090618114332799,0.23756454131730553,0,0,2.0,4.0
50,0.17237959924096047,0.29333333333333333,0.25831619043662124,0.48433182041048517,0.24333912324181922,0,0,3.0,4.0
51,0.19190655334612794,0.31999999999999995,0.26137162518122403,0.4276730188257182,0.273886359204606,0,0,3.0,4.0
52,0.17683306465455617,0.30666666666666664,0.272530901305726,0.404688187926039,0.25646434055531725,0,0,3.0,4.0
53,0.20469603649532164,0.3566666666666667,0.2932562489292976,0.44560519294741785,0.3131017526842145,0,0,3.0,4.0
54,0.25719908252402235,0.3733333333333333,0.3528224285563315,0.5424903590568173,0.34391265646164115,0,0,3.0,4.0
55,0.22630373086954458,0.31999999999999995,0.3522265416632496,0.5140272073538984,0.286269343113036,0,0,3.0,4.0
56,0.15497919323393428,0.29666666666666663,0.22918417643575573,0.369906969413377,0.23904709413735548,0,0,3.0,5.0
57,0.1523253812576899,0.27,0.21178375579479303,0.38687638730070306,0.21586967537853735,0,0,3.0,5.0
58,0.14819362301324757,0.21999999999999997,0.1742809488603707,0.36075341236733294,0.17978842888741864,0,0,3.0,5.0
59,0.14292142160994603,0.26,0.14642542350138876,0.3258336023421071,0.2038022823727741,0,0,3.0,5.0
60,0.13853390388746178,0.23333333333333328,0.1270464655890895,0.3411234354015893,0.18277363762886847,0,1,0.0,0.0
61,0.15363051318841547,0.2433333333333333,0.13388266955751993,0.3641901537590442,0.19728588565894212,0,1,0.0,0.0
62,0.1807424745400713,0.30666666666666664,0.14998039092825843,0.40370806621838806,0.2579759790443831,0,1,0.0,0.0
